Time Step,Ratio
2.82,0.933710078
2.83,0.931873608
2.84,0.930050456
2.85,0.928240472
2.86,0.926443507
2.87,0.924659414
2.88,0.92288805
2.89,0.921129272
2.9,0.919382942
2.91,0.917648921
2.92,0.915927074
2.93,0.914217269
2.94,0.912519374
2.95,0.910833259
2.96,0.909158798
2.97,0.907495866
2.98,0.905844338
2.99,0.904204093
3,0.902575012
3.01,0.900956976
3.02,0.89934987
3.03,0.897753578
3.04,0.896167988
3.05,0.894592988
3.06,0.89302847
3.07,0.891474324
3.08,0.889930446
3.09,0.888396728
3.1,0.886873069
3.11,0.885359366
3.12,0.883855518
3.13,0.882361427
3.14,0.880876995
3.15,0.879402125
3.16,0.877936722
3.17,0.876480694
3.18,0.875033946
3.19,0.873596389
3.2,0.872167932
3.21,0.870748487
3.22,0.869337965
3.23,0.867936282
3.24,0.866543352
3.25,0.86515909
3.26,0.863783415
3.27,0.862416243
3.28,0.861057496
3.29,0.859707092
3.3,0.858364954
3.31,0.857031004
3.32,0.855705166
3.33,0.854387364
3.34,0.853077523
3.35,0.85177557
3.36,0.850481433
3.37,0.84919504
3.38,0.847916319
3.39,0.846645202
3.4,0.845381619
3.41,0.844125501
3.42,0.842876783
3.43,0.841635397
3.44,0.840401279
3.45,0.839174362
3.46,0.837954584
3.47,0.83674188
3.48,0.83553619
3.49,0.83433745
3.5,0.833145601
3.51,0.831960582
3.52,0.830782333
3.53,0.829610797
3.54,0.828445915
3.55,0.82728763
3.56,0.826135885
3.57,0.824990625
3.58,0.823851794
3.59,0.822719338
3.6,0.821593202
3.61,0.820473334
3.62,0.819359681
3.63,0.81825219
3.64,0.81715081
3.65,0.816055491
3.66,0.814966183
3.67,0.813882834
3.68,0.812805398
3.69,0.811733824
3.7,0.810668064
3.71,0.809608073
3.72,0.808553801
3.73,0.807505204
3.74,0.806462236
3.75,0.80542485
3.76,0.804393002
3.77,0.803366648
3.78,0.802345744
3.79,0.801330247
3.8,0.800320114
3.81,0.799315302
3.82,0.798315769
3.83,0.797321474
3.84,0.796332376
3.85,0.795348435
3.86,0.79436961
3.87,0.793395861
3.88,0.79242715
3.89,0.791463437
3.9,0.790504684
3.91,0.789550853
3.92,0.788601907
3.93,0.787657807
3.94,0.786718518
3.95,0.785784003
3.96,0.784854226
3.97,0.783929151
3.98,0.783008742
3.99,0.782092966
4,0.781181787
4.01,0.780275171
4.02,0.779373084
4.03,0.778475494
4.04,0.777582365
4.05,0.776693667
4.06,0.775809366
4.07,0.77492943
4.08,0.774053827
4.09,0.773182527
4.1,0.772315496
4.11,0.771452706
4.12,0.770594124
4.13,0.769739722
4.14,0.768889468
4.15,0.768043334
4.16,0.767201289
4.17,0.766363305
4.18,0.765529354
4.19,0.764699405
4.2,0.763873432
4.21,0.763051407
4.22,0.762233301
4.23,0.761419087
4.24,0.760608738
4.25,0.759802227
4.26,0.758999528
4.27,0.758200614
4.28,0.757405458
4.29,0.756614036
4.3,0.755826322
4.31,0.75504229
4.32,0.754261914
4.33,0.753485171
4.34,0.752712035
4.35,0.751942483
4.36,0.751176489
4.37,0.750414029
4.38,0.749655081
4.39,0.748899621
4.4,0.748147624
4.41,0.747399069
4.42,0.746653931
4.43,0.74591219
4.44,0.745173821
4.45,0.744438803
4.46,0.743707114
4.47,0.742978731
4.48,0.742253634
4.49,0.741531801
4.5,0.74081321
4.51,0.74009784
4.52,0.73938567
4.53,0.738676681
4.54,0.73797085
4.55,0.737268159
4.56,0.736568586
4.57,0.735872112
4.58,0.735178717
4.59,0.734488381
4.6,0.733801085
4.61,0.73311681
4.62,0.732435536
4.63,0.731757244
4.64,0.731081917
4.65,0.730409534
4.66,0.729740078
4.67,0.72907353
4.68,0.728409873
4.69,0.727749088
4.7,0.727091157
4.71,0.726436062
4.72,0.725783787
4.73,0.725134314
4.74,0.724487625
4.75,0.723843704
4.76,0.723202533
4.77,0.722564096
4.78,0.721928376
4.79,0.721295356
4.8,0.720665021
4.81,0.720037353
4.82,0.719412338
4.83,0.718789958
4.84,0.718170198
4.85,0.717553042
4.86,0.716938475
4.87,0.716326482
4.88,0.715717046
4.89,0.715110153
4.9,0.714505787
4.91,0.713903935
4.92,0.71330458
4.93,0.712707708
4.94,0.712113305
4.95,0.711521356
4.96,0.710931846
4.97,0.710344762
4.98,0.709760089
4.99,0.709177814
5,0.708597922
5.01,0.7080204
5.02,0.707445234
5.03,0.706872409
5.04,0.706301914
5.05,0.705733735
5.06,0.705167857
