Time Step,Ratio,Primary Radius,Secondary Radius,Primary Displacement,Secondary Displacement,Primary Sheave Velocity,Secondary Sheave Velocity,Primary Sheave Acceleration,Secondary Sheave Acceleration,Primary Clamping Force,Secondary Force
0.1,4.1,0.985709721226731,4.04140985702960,0.150000000000000,0.150000000000000,0.262074240656071,-0.185000522215196,7.25694150341165,-5.35391330806274,5.13210903121272,-5.31715869320289
0.15,3.820416902,1.04735783940219,4.00134359209434,0.163103712032804,0.140749973889240,0.624921315826653,-0.452696187618332,6.45560016735380,-4.92072976154907,4.56540043835261,-4.88694895173603
0.2,3.00483651,1.27971208507603,3.84532559552467,0.212492131582665,0.104730381238167,0.907634257391451,-0.677073498370102,1.38968942524447,-1.44107191285902,0.982788361532887,-1.43117895417725
0.25,2.515027052,1.47436618497399,3.70807083976361,0.253867137771949,0.0730426240522300,0.763890258351100,-0.596803378904235,-2.79352535450519,1.66508350973405,-1.97558113070607,1.65365271143972
0.3,2.188295011,1.63909419605361,3.58682165178318,0.288881157417775,0.0450500433477433,0.628281721940932,-0.510565147396698,-2.94966762602014,2.03474998420285,-2.08600494512144,2.02078142556130
0.35,1.970067952,1.76994949560182,3.48692077794370,0.316695309966042,0.0219861093125602,0.468923495749086,-0.393328380483950,-2.97938895438272,2.26449561643394,-2.10702386853946,2.24894985402713
0.4,1.837093388,1.85970535576792,3.41645241270943,0.335773506992684,0.00571720529934830,0.330342826502660,-0.284115585753303,-2.22594942325851,1.77585232799572,-1.57419143212842,1.76366110176403
0.45,1.747128095,1.92536357640328,3.36385679742385,0.349729592616308,-0.00642544926277008,0.246328553423235,-0.215743147684378,-1.39430727525716,1.14577934696142,-0.986054105061861,1.13791357174453
0.5,1.682027824,1.97559382869384,3.32300378878573,0.360406362335007,-0.0158571094690895,0.190912098976945,-0.169537651057161,-0.944439383834716,0.793852787750288,-0.667907532247912,0.788402988362382
0.55,1.632817366,2.01518065731435,3.29042197289016,0.368820802514002,-0.0233792143684862,0.151884615039763,-0.136357868909349,-0.677610995912441,0.580008904190132,-0.479206496309279,0.576027143062867
0.6,1.594460727,2.04704992200210,3.26394070684076,0.375594823838984,-0.0294928963600244,0.123150999385701,-0.111536760638148,-0.505860903995303,0.439504970686786,-0.357744831305479,0.436487769063021
